Id,Date,total_sleep_minutes,sleep_hours
1503960366,2016-03-13,441,7.35
1503960366,2016-03-14,423,7.05
1503960366,2016-03-15,365,6.083333333333333
1503960366,2016-03-16,404,6.733333333333333
1503960366,2016-03-17,473,7.883333333333334
1503960366,2016-03-18,449,7.483333333333333
1503960366,2016-03-19,490,8.166666666666666
1503960366,2016-03-20,483,8.05
1503960366,2016-03-21,471,7.85
1503960366,2016-03-23,316,5.266666666666667
1503960366,2016-03-24,389,6.483333333333333
1503960366,2016-03-25,424,7.066666666666666
1503960366,2016-03-26,511,8.516666666666667
1503960366,2016-03-27,533,8.883333333333333
1503960366,2016-03-28,81,1.35
1503960366,2016-03-29,411,6.85
1503960366,2016-03-31,365,6.083333333333333
1503960366,2016-04-01,333,5.55
1503960366,2016-04-02,591,9.85
1503960366,2016-04-03,480,8
1503960366,2016-04-04,392,6.533333333333333
1503960366,2016-04-05,343,5.716666666666667
1503960366,2016-04-09,437,7.283333333333333
1503960366,2016-04-10,503,8.383333333333333
1503960366,2016-04-11,351,5.85
1644430081,2016-03-27,638,10.633333333333333
1644430081,2016-03-28,466,7.766666666666667
1644430081,2016-03-29,215,3.5833333333333335
1644430081,2016-03-30,1201,20.016666666666666
1844505072,2016-04-03,232,3.8666666666666667
1844505072,2016-04-04,771,12.85
1844505072,2016-04-09,1160,19.333333333333332
1844505072,2016-04-10,383,6.383333333333334
1927972279,2016-03-11,44,0.7333333333333333
1927972279,2016-03-12,650,10.833333333333334
1927972279,2016-03-13,530,8.833333333333334
1927972279,2016-03-14,186,3.1
1927972279,2016-03-15,68,1.1333333333333333
1927972279,2016-03-16,696,11.6
1927972279,2016-03-17,6,0.1
1927972279,2016-03-18,591,9.85
1927972279,2016-03-19,641,10.683333333333334
1927972279,2016-03-20,609,10.15
1927972279,2016-03-21,370,6.166666666666667
1927972279,2016-03-22,413,6.883333333333334
1927972279,2016-03-23,505,8.416666666666666
1927972279,2016-03-24,447,7.45
1927972279,2016-03-25,66,1.1
1927972279,2016-03-26,425,7.083333333333333
1927972279,2016-03-27,129,2.15
1927972279,2016-03-28,241,4.016666666666667
1927972279,2016-03-29,615,10.25
1927972279,2016-03-30,407,6.783333333333333
1927972279,2016-03-31,551,9.183333333333334
1927972279,2016-04-01,397,6.616666666666666
1927972279,2016-04-02,357,5.95
1927972279,2016-04-03,116,1.9333333333333333
1927972279,2016-04-04,501,8.35
1927972279,2016-04-05,451,7.516666666666667
1927972279,2016-04-06,445,7.416666666666667
1927972279,2016-04-09,56,0.9333333333333333
1927972279,2016-04-10,516,8.6
1927972279,2016-04-11,559,9.316666666666666
1927972279,2016-04-12,514,8.566666666666666
2022484408,2016-03-13,153,2.55
2026352035,2016-03-11,174,2.9
2026352035,2016-03-12,610,10.166666666666666
2026352035,2016-03-13,696,11.6
2026352035,2016-03-14,566,9.433333333333334
2026352035,2016-03-15,454,7.566666666666666
2026352035,2016-03-16,185,3.0833333333333335
2026352035,2016-03-17,545,9.083333333333334
2026352035,2016-03-18,651,10.85
2026352035,2016-03-19,591,9.85
2026352035,2016-03-20,639,10.65
2026352035,2016-03-21,647,10.783333333333333
2026352035,2016-03-22,574,9.566666666666666
2026352035,2016-03-23,638,10.633333333333333
2026352035,2016-03-24,608,10.133333333333333
2026352035,2016-03-25,562,9.366666666666667
2026352035,2016-03-26,664,11.066666666666666
2026352035,2016-03-27,620,10.333333333333334
2026352035,2016-03-28,569,9.483333333333333
2026352035,2016-03-29,568,9.466666666666667
2026352035,2016-03-30,575,9.583333333333334
2026352035,2016-03-31,587,9.783333333333333
2026352035,2016-04-01,575,9.583333333333334
2026352035,2016-04-02,630,10.5
2026352035,2016-04-03,687,11.45
2026352035,2016-04-04,577,9.616666666666667
2026352035,2016-04-05,618,10.3
2026352035,2016-04-06,573,9.55
2026352035,2016-04-07,662,11.033333333333333
2026352035,2016-04-08,579,9.65
2026352035,2016-04-09,625,10.416666666666666
2026352035,2016-04-10,608,10.133333333333333
2026352035,2016-04-11,624,10.4
2026352035,2016-04-12,367,6.116666666666666
2347167796,2016-03-11,22,0.36666666666666664
2347167796,2016-03-12,532,8.866666666666667
2347167796,2016-03-13,669,11.15
2347167796,2016-03-14,510,8.5
2347167796,2016-03-15,636,10.6
2347167796,2016-03-16,511,8.516666666666667
2347167796,2016-03-17,446,7.433333333333334
2347167796,2016-03-18,682,11.366666666666667
2347167796,2016-03-19,275,4.583333333333333
2347167796,2016-03-20,651,10.85
2347167796,2016-03-21,522,8.7
2347167796,2016-03-22,565,9.416666666666666
2347167796,2016-03-23,545,9.083333333333334
2347167796,2016-03-24,554,9.233333333333333
2347167796,2016-03-25,387,6.45
2347167796,2016-03-27,183,3.05
2347167796,2016-03-28,609,10.15
2347167796,2016-03-29,527,8.783333333333333
2347167796,2016-03-30,563,9.383333333333333
2347167796,2016-03-31,643,10.716666666666667
2347167796,2016-04-01,410,6.833333333333333
2347167796,2016-04-02,519,8.65
2347167796,2016-04-03,686,11.433333333333334
2347167796,2016-04-04,584,9.733333333333333
2347167796,2016-04-05,510,8.5
2347167796,2016-04-06,483,8.05
2347167796,2016-04-07,86,1.4333333333333333
2347167796,2016-04-08,430,7.166666666666667
2347167796,2016-04-09,25,0.4166666666666667
2347167796,2016-04-10,727,12.116666666666667
2347167796,2016-04-11,448,7.466666666666667
3977333714,2016-03-13,651,10.85
3977333714,2016-03-14,540,9
3977333714,2016-03-15,517,8.616666666666667
3977333714,2016-03-16,435,7.25
3977333714,2016-03-17,610,10.166666666666666
3977333714,2016-04-01,565,9.416666666666666
3977333714,2016-04-02,383,6.383333333333334
3977333714,2016-04-03,504,8.4
3977333714,2016-04-04,544,9.066666666666666
3977333714,2016-04-05,596,9.933333333333334
3977333714,2016-04-06,556,9.266666666666667
3977333714,2016-04-07,598,9.966666666666667
3977333714,2016-04-08,657,10.95
3977333714,2016-04-09,567,9.45
3977333714,2016-04-10,611,10.183333333333334
3977333714,2016-04-11,555,9.25
4020332650,2016-03-12,484,8.066666666666666
4020332650,2016-03-13,569,9.483333333333333
4020332650,2016-03-14,316,5.266666666666667
4020332650,2016-03-15,356,5.933333333333334
4020332650,2016-03-16,532,8.866666666666667
4020332650,2016-03-17,442,7.366666666666666
4020332650,2016-03-30,410,6.833333333333333
4020332650,2016-03-31,281,4.683333333333334
4020332650,2016-04-01,474,7.9
4020332650,2016-04-02,518,8.633333333333333
4020332650,2016-04-03,418,6.966666666666667
4020332650,2016-04-04,496,8.266666666666667
4020332650,2016-04-06,276,4.6
4020332650,2016-04-10,74,1.2333333333333334
4020332650,2016-04-11,455,7.583333333333333
4319703577,2016-03-11,109,1.8166666666666667
4319703577,2016-03-12,534,8.9
4319703577,2016-03-13,388,6.466666666666667
4319703577,2016-03-14,108,1.8
4319703577,2016-03-15,523,8.716666666666667
4319703577,2016-03-16,568,9.466666666666667
4319703577,2016-03-17,563,9.383333333333333
4319703577,2016-03-18,526,8.766666666666667
4319703577,2016-03-19,544,9.066666666666666
4319703577,2016-03-20,535,8.916666666666666
4319703577,2016-03-21,508,8.466666666666667
4319703577,2016-03-22,65,1.0833333333333333
4319703577,2016-03-23,531,8.85
4319703577,2016-03-24,447,7.45
4319703577,2016-03-25,601,10.016666666666667
4319703577,2016-03-26,546,9.1
4319703577,2016-03-27,651,10.85
4319703577,2016-03-28,555,9.25
4319703577,2016-03-29,590,9.833333333333334
4319703577,2016-03-30,504,8.4
4319703577,2016-03-31,57,0.95
4319703577,2016-04-01,502,8.366666666666667
4319703577,2016-04-02,557,9.283333333333333
4319703577,2016-04-03,598,9.966666666666667
4319703577,2016-04-04,544,9.066666666666666
4319703577,2016-04-05,502,8.366666666666667
4319703577,2016-04-06,545,9.083333333333334
4319703577,2016-04-07,467,7.783333333333333
4445114986,2016-03-12,407,6.783333333333333
4445114986,2016-03-13,358,5.966666666666667
4445114986,2016-03-15,645,10.75
4445114986,2016-03-16,457,7.616666666666666
4445114986,2016-03-17,245,4.083333333333333
4445114986,2016-03-19,178,2.966666666666667
